iter	Passed	Remaining
0	2	243
1	4	224
2	6	218
3	7	188
4	9	175
5	10	161
6	11	151
7	12	141
8	13	136
9	14	130
10	15	123
11	15	116
12	16	110
13	17	106
14	18	103
15	18	99
16	19	97
17	20	94
18	21	93
19	22	91
20	23	89
21	24	87
22	25	84
23	25	81
24	26	78
25	26	76
26	27	73
27	27	71
28	28	70
29	29	69
30	30	68
31	31	66
32	32	66
33	33	64
34	34	63
35	34	61
36	35	60
37	36	59
38	36	57
39	37	56
40	38	55
41	38	53
42	39	51
43	40	51
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	47	40
54	48	39
55	48	38
56	49	37
57	49	36
58	50	35
59	51	34
60	52	33
61	53	32
62	53	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	26
68	57	25
69	58	25
70	59	24
71	60	23
72	61	22
73	62	21
74	62	20
75	63	20
76	64	19
77	65	18
78	66	17
79	67	16
80	68	15
81	68	15
82	69	14
83	70	13
84	71	12
85	72	11
86	73	10
87	74	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	78	5
94	79	4
95	79	3
96	80	2
97	81	1
98	82	0
99	83	0
